epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,85.9639,4.42991,0.2111,0.4714,3.41333,0.00997442,0.00332481,0.00997442,0.00332481,0.00997442,0.00332481,0.00997442,0.00332481
2,171.331,3.31588,0.3021,0.6126,2.92397,0.0195789,0.00652631,0.0195789,0.00652631,0.0195789,0.00652631,0.0195789,0.00652631
3,255.066,3.09627,0.3015,0.6204,2.87759,0.0287874,0.00959581,0.0287874,0.00959581,0.0287874,0.00959581,0.0287874,0.00959581
4,338.889,2.94449,0.3563,0.6701,2.54224,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,423.255,2.75823,0.3721,0.6901,2.45352,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,505.385,2.63865,0.3841,0.7011,2.37346,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,586.385,2.56273,0.409,0.7145,2.29475,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,668.118,2.51587,0.4047,0.7211,2.31807,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,749.593,2.45751,0.4175,0.725,2.24995,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,829.588,2.41973,0.4278,0.7406,2.18582,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,908.944,2.40648,0.4341,0.7479,2.13943,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,988.406,2.38286,0.4444,0.7535,2.1144,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1068.34,2.35935,0.4474,0.7463,2.10203,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1148.54,2.32698,0.4784,0.7706,1.99426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1228.93,2.31653,0.4603,0.759,2.08022,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1309.28,2.29148,0.4744,0.7678,1.99597,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,1390.16,2.25819,0.4794,0.7721,1.96672,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,1471.34,2.24172,0.4822,0.7767,1.95154,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,1551.82,2.22753,0.4873,0.7763,1.92451,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,1630.96,2.21749,0.4916,0.7863,1.9074,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,1711.17,2.19649,0.4878,0.784,1.86991,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,1790.5,2.16576,0.5019,0.7947,1.85056,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,1870.1,2.15178,0.5117,0.7988,1.83101,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,1949.48,2.13648,0.5084,0.8004,1.82319,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,2029.38,2.10861,0.522,0.8075,1.77468,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,2110.49,2.08699,0.5187,0.8025,1.79333,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,2192.86,2.06132,0.5238,0.8069,1.78074,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,2274.7,2.04678,0.5229,0.8079,1.74595,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,2355.63,2.02873,0.5289,0.8102,1.77942,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,2439.42,1.99501,0.5303,0.8158,1.74712,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,2520.92,1.98419,0.5351,0.818,1.72278,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,2603.1,1.96327,0.5331,0.8166,1.71206,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,2685.24,1.93383,0.535,0.8186,1.73096,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,2767.71,1.90742,0.5383,0.8166,1.7262,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,2849.56,1.88108,0.5408,0.8207,1.7094,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,2933.29,1.85413,0.5426,0.8201,1.69109,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,3015.52,1.83082,0.5429,0.822,1.68503,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,3100.5,1.78724,0.5454,0.823,1.69961,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,3184.88,1.75903,0.5478,0.8249,1.67498,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
